ISIN,Annoncment date,T-257,T+5
SE0014401378,12/22/2021,4/9/2021,12/27/2021
SE0014401378,12/1/2021,3/19/2021,12/6/2021
SE0014401378,11/1/2021,2/17/2021,11/6/2021
SE0014401378,9/1/2021,12/18/2020,9/6/2021
SE0014401378,9/18/2020,1/5/2020,9/23/2020
SE0014401378,8/13/2019,11/29/2018,8/18/2019
SE0014401378,11/26/2018,3/14/2018,12/1/2018
SE0014401378,7/2/2018,10/18/2017,7/7/2018
SE0014401378,7/13/2017,10/29/2016,7/18/2017
SE0014401378,2/22/2017,6/10/2016,2/27/2017
SE0014401378,1/12/2017,4/30/2016,1/17/2017
SE0014401378,12/7/2016,3/25/2016,12/12/2016
SE0014401378,10/3/2016,1/20/2016,10/8/2016
SE0014401378,3/17/2016,7/4/2015,3/22/2016
SE0000472268,9/1/2021,12/18/2020,9/6/2021
SE0000472268,6/1/2021,9/17/2020,6/6/2021
SE0000472268,5/10/2021,8/26/2020,5/15/2021
SE0000472268,3/30/2021,7/16/2020,4/4/2021
SE0000472268,11/2/2020,2/19/2020,11/7/2020
SE0000472268,1/16/2020,5/4/2019,1/21/2020
SE0000472268,1/9/2020,4/27/2019,1/14/2020
SE0000472268,12/3/2018,3/21/2018,12/8/2018
SE0000472268,9/14/2018,12/31/2017,9/19/2018
SE0000472268,8/15/2018,12/1/2017,8/20/2018
SE0000472268,12/12/2017,3/30/2017,12/17/2017
SE0000472268,11/29/2017,3/17/2017,12/4/2017
SE0000472268,10/2/2017,1/18/2017,10/7/2017
SE0000472268,9/22/2017,1/8/2017,9/27/2017
SE0000472268,8/2/2017,11/18/2016,8/7/2017
SE0000472268,7/31/2017,11/16/2016,8/5/2017
SE0000472268,6/29/2017,10/15/2016,7/4/2017
SE0000472268,12/15/2016,4/2/2016,12/20/2016
SE0000472268,8/22/2016,12/9/2015,8/27/2016
SE0000472268,7/1/2016,10/18/2015,7/6/2016
SE0000472268,2/2/2016,5/21/2015,2/7/2016
SE0000472268,7/2/2015,10/18/2014,7/7/2015
SE0000472268,4/2/2014,7/19/2013,4/7/2014
SE0000472268,2/3/2014,5/22/2013,2/8/2014
SE0000472268,8/30/2013,12/16/2012,9/4/2013
SE0000472268,5/27/2013,9/12/2012,6/1/2013
SE0000472268,7/6/2012,10/23/2011,7/11/2012
SE0000472268,4/12/2012,7/30/2011,4/17/2012
SE0014781795,7/1/2021,10/17/2020,7/6/2021
SE0014781795,5/11/2021,8/27/2020,5/16/2021
SE0014781795,3/12/2021,6/28/2020,3/17/2021
SE0014781795,1/22/2021,5/10/2020,1/27/2021
SE0014781795,10/2/2020,1/19/2020,10/7/2020
SE0014781795,4/1/2019,7/18/2018,4/6/2019
SE0014781795,12/14/2018,4/1/2018,12/19/2018
SE0014781795,10/24/2017,2/9/2017,10/29/2017
SE0014781795,4/6/2017,7/23/2016,4/11/2017
SE0014781795,3/20/2017,7/6/2016,3/25/2017
SE0014781795,12/15/2016,4/2/2016,12/20/2016
SE0014781795,11/9/2016,2/26/2016,11/14/2016
SE0014781795,9/21/2016,1/8/2016,9/26/2016
SE0014781795,1/27/2016,5/15/2015,2/1/2016
SE0014781795,11/13/2015,3/1/2015,11/18/2015
SE0014781795,9/28/2015,1/14/2015,10/3/2015
SE0014781795,6/4/2015,9/20/2014,6/9/2015
SE0014781795,4/1/2015,7/18/2014,4/6/2015
SE0014781795,5/5/2014,8/21/2013,5/10/2014
SE0014781795,11/5/2013,2/21/2013,11/10/2013
SE0014781795,9/12/2013,12/29/2012,9/17/2013
SE0014781795,3/25/2013,7/11/2012,3/30/2013
SE0014781795,3/15/2013,7/1/2012,3/20/2013
SE0014781795,12/12/2012,3/30/2012,12/17/2012
SE0014781795,11/30/2012,3/18/2012,12/5/2012
SE0014781795,10/8/2012,1/25/2012,10/13/2012
SE0014781795,10/1/2012,1/18/2012,10/6/2012
SE0014781795,8/31/2012,12/18/2011,9/5/2012
SE0014781795,5/31/2012,9/17/2011,6/5/2012
SE0014781795,1/26/2012,5/14/2011,1/31/2012
SE0014781795,11/24/2011,3/12/2011,11/29/2011
SE0014781795,9/5/2011,12/22/2010,9/10/2011
SE0014781795,6/7/2011,9/23/2010,6/12/2011
SE0014781795,3/24/2011,7/10/2010,3/29/2011
SE0014781795,3/10/2011,6/26/2010,3/15/2011
SE0014781795,1/11/2011,4/29/2010,1/16/2011
SE0006993770,5/31/2021,9/16/2020,6/5/2021
SE0006993770,5/31/2017,9/16/2016,6/5/2017
SE0006993770,1/19/2017,5/7/2016,1/24/2017
SE0006993770,12/15/2016,4/2/2016,12/20/2016
