ISIN,Annoncment date,T-257,T+5
SE0005999836,10/5/2021,1/21/2021,10/10/2021
SE0005999836,8/30/2021,12/16/2020,9/4/2021
SE0005999836,5/11/2021,8/27/2020,5/16/2021
SE0005999836,4/6/2021,7/23/2020,4/11/2021
SE0005999836,3/5/2021,6/21/2020,3/10/2021
SE0005999836,2/2/2021,5/21/2020,2/7/2021
SE0005999836,1/14/2021,5/2/2020,1/19/2021
SE0005999836,1/7/2021,4/25/2020,1/12/2021
SE0005999836,11/5/2019,2/21/2019,11/10/2019
SE0005999836,9/3/2019,12/20/2018,9/8/2019
SE0005999836,7/2/2019,10/18/2018,7/7/2019
SE0005999836,12/10/2018,3/28/2018,12/15/2018
SE0005999836,11/8/2018,2/24/2018,11/13/2018
SE0005999836,10/3/2018,1/19/2018,10/8/2018
SE0005999836,9/3/2018,12/20/2017,9/8/2018
SE0005999836,5/4/2018,8/20/2017,5/9/2018
SE0005999836,1/30/2018,5/18/2017,2/4/2018
SE0005999836,1/9/2018,4/27/2017,1/14/2018
SE0005999836,10/11/2017,1/27/2017,10/16/2017
SE0005999836,5/3/2017,8/19/2016,5/8/2017
SE0005999836,2/9/2017,5/28/2016,2/14/2017
SE0005999836,1/12/2017,4/30/2016,1/17/2017
SE0005999836,11/16/2016,3/4/2016,11/21/2016
SE0005999836,10/5/2016,1/22/2016,10/10/2016
SE0005999836,9/30/2016,1/17/2016,10/5/2016
SE0005999836,8/25/2016,12/12/2015,8/30/2016
SE0005999836,5/18/2016,9/4/2015,5/23/2016
SE0005999836,1/11/2016,4/29/2015,1/16/2016
SE0005999836,12/10/2015,3/28/2015,12/15/2015
SE0005999836,6/2/2015,9/18/2014,6/7/2015
SE0005999836,5/7/2015,8/23/2014,5/12/2015
SE0005999836,2/10/2015,5/29/2014,2/15/2015
SE0005999836,10/27/2014,2/12/2014,11/1/2014
SE0005999836,9/24/2014,1/10/2014,9/29/2014
SE0005999836,10/18/2012,2/4/2012,10/23/2012
SE0005999836,9/7/2012,12/25/2011,9/12/2012
SE0005999836,4/17/2012,8/4/2011,4/22/2012
SE0005999836,10/31/2011,2/16/2011,11/5/2011
SE0009155005,5/17/2018,9/2/2017,5/22/2018
SE0009155005,4/19/2018,8/5/2017,4/24/2018
SE0009155005,12/20/2017,4/7/2017,12/25/2017
SE0009155005,11/23/2017,3/11/2017,11/28/2017
SE0009155005,11/15/2017,3/3/2017,11/20/2017
SE0009155005,9/13/2017,12/30/2016,9/18/2017
SE0009155005,4/25/2017,8/11/2016,4/30/2017
SE0009155005,4/11/2017,7/28/2016,4/16/2017
SE0009155005,2/3/2017,5/22/2016,2/8/2017
SE0009155005,12/5/2016,3/23/2016,12/10/2016
SE0000695876,10/4/2021,1/20/2021,10/9/2021
SE0000695876,5/10/2021,8/26/2020,5/15/2021
SE0000695876,1/12/2021,4/30/2020,1/17/2021
SE0000695876,7/3/2015,10/19/2014,7/8/2015
SE0000695876,4/7/2014,7/24/2013,4/12/2014
SE0000695876,5/30/2013,9/15/2012,6/4/2013
SE0000695876,1/7/2013,4/25/2012,1/12/2013
SE0000695876,8/27/2012,12/14/2011,9/1/2012
SE0000695876,8/1/2012,11/18/2011,8/6/2012
SE0000695876,5/5/2011,8/21/2010,5/10/2011
SE0009922305,10/4/2021,1/20/2021,10/9/2021
SE0009922305,2/5/2021,5/24/2020,2/10/2021
SE0009922305,11/11/2019,2/27/2019,11/16/2019
SE0009922305,6/20/2019,10/6/2018,6/25/2019
SE0009922305,1/2/2019,4/20/2018,1/7/2019
